PERIOD,cl_id,MCC,currency,TRDATETIME,amount,target_flag,target_sum,trx_category_mul,mday,ymonth,year,wday,is_weekend,mcc_group,amount_log,channel_type1,channel_type2,channel_type3,channel_type4,channel_type5,trx_BACK_TRX,trx_C2C_IN,trx_C2C_OUT,trx_CASH_ADV,trx_CAT,trx_DEPOSIT,trx_POS,trx_WD_ATM_OTHER,trx_WD_ATM_PARTNER,trx_WD_ATM_ROS
01/06/2017,913,7230,810,2017-06-14 00:00:00,2100.0,1,449004.29,-1,14,6,2017,2,False,7.0,7.650168700845001,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/07/2017,4183,5499,810,2017-07-20 00:00:00,140.0,1,132726.55,-1,20,7,2017,3,False,17.0,4.948759890378168,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/11/2017,2253,5735,810,2017-11-28 00:00:00,397.0,1,59.0,-1,28,11,2017,1,False,15.0,5.986452005284438,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/08/2017,225,5411,810,2017-08-07 00:00:00,44.9,1,466235.45,-1,7,8,2017,0,False,17.0,3.8264651170664994,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
01/03/2017,9869,5812,810,2017-03-30 00:00:00,350.0,0,0.0,-1,30,3,2017,3,False,15.0,5.860786223465865,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/10/2017,4470,5921,810,2017-10-01 00:00:00,265.0,1,49099.0,-1,1,10,2017,6,True,15.0,5.583496308781699,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/12/2016,5707,5411,810,2016-12-21 00:00:00,409.62,1,1032.63,-1,21,12,2016,2,False,17.0,6.017668212604618,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/05/2017,1289,5812,810,2017-05-05 00:00:00,310.0,1,151619.28,-1,5,5,2017,4,False,15.0,5.739792912179234,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/12/2017,3019,5812,144,2017-12-30 00:00:00,6058.94,0,0.0,-1,30,12,2017,5,True,15.0,8.709455178024246,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/04/2017,4794,5521,810,2017-04-06 00:00:00,20000.0,1,583911.45,-1,6,4,2017,3,False,1.0,9.90353755128617,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
